LoanID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
604,8875,8875,13.11%,36 months,other,30.46%,TX,OWN,2166.67,700-704,9,6797,1,2 years
605,2400,2400,10.74%,36 months,credit_card,11.20%,NY,RENT,2000,705-709,4,3055,0,10+ years
606,25000,24950,20.53%,60 months,debt_consolidation,18.50%,NJ,RENT,8000,675-679,9,19548,0,3 years
607,5500,5500,16.07%,36 months,other,19.35%,FL,MORTGAGE,3937.08,685-689,6,689,8,10+ years
608,6000,6000,12.53%,36 months,credit_card,23.07%,PA,RENT,2916.67,685-689,11,3334,0,2 years
609,18000,18000,19.05%,60 months,debt_consolidation,6.28%,MD,MORTGAGE,7500,690-694,8,20675,1,10+ years
610,28000,27975,7.90%,36 months,small_business,5.81%,WA,MORTGAGE,7000,800-804,8,771,2,9 years
611,32000,32000,16.29%,60 months,debt_consolidation,15.14%,AZ,RENT,7055,725-729,8,16174,1,6 years
612,6000,6000,13.11%,36 months,credit_card,4.53%,NY,RENT,2625,690-694,5,4299,1,10+ years
613,7200,7200,8.90%,60 months,debt_consolidation,25.16%,LA,MORTGAGE,3750,750-754,13,7283,0,6 years
614,11500,11500,11.14%,36 months,debt_consolidation,10.47%,AL,RENT,2916.67,700-704,6,9562,0,< 1 year
615,4800,4800,5.42%,36 months,major_purchase,10.23%,FL,MORTGAGE,6333.33,790-794,13,10704,0,10+ years
616,4000,4000,10.65%,36 months,debt_consolidation,23.40%,NC,MORTGAGE,2333.33,685-689,21,3522,0,7 years
617,15000,15000,10.65%,36 months,other,14.36%,CA,RENT,9083.33,720-724,11,26902,0,3 years
618,15000,15000,17.99%,36 months,debt_consolidation,21.04%,TX,MORTGAGE,5319.17,675-679,13,5613,3,2 years
619,25000,25000,12.42%,36 months,debt_consolidation,1.05%,CA,MORTGAGE,16666.67,705-709,7,2839,0,10+ years
620,4800,4800,18.75%,60 months,other,27.69%,TX,RENT,1560,680-684,9,6563,0,< 1 year
621,9500,9500,6.62%,36 months,debt_consolidation,19.28%,GA,MORTGAGE,3583.33,735-739,8,5240,0,10+ years
622,15000,6200,12.53%,36 months,home_improvement,13.78%,MO,MORTGAGE,8750,705-709,8,21702,3,1 year
623,6000,6000,13.98%,36 months,debt_consolidation,7.73%,CO,RENT,6250,675-679,6,3507,0,4 years
624,12300,12300,6.03%,36 months,debt_consolidation,7.15%,VA,RENT,6666.67,740-744,10,10976,0,10+ years
625,24000,23950,7.51%,36 months,other,17.95%,PA,OWN,4250,755-759,6,19509,0,2 years
626,2000,1975,11.12%,36 months,other,20.50%,NY,MORTGAGE,6833.33,705-709,19,20653,5,5 years
627,14000,14000,9.76%,36 months,debt_consolidation,22.55%,NJ,MORTGAGE,8750,710-714,8,25026,0,10+ years
628,10000,10000,12.12%,36 months,debt_consolidation,5.95%,NJ,OWN,5000,700-704,5,10752,0,4 years
629,13000,8113.74,9.63%,36 months,small_business,16.14%,TX,MORTGAGE,3500,785-789,6,0,1,1 year
630,5000,5000,16.29%,60 months,other,11.80%,VA,RENT,5416.67,690-694,7,8745,1,4 years
631,6000,5994,12.42%,36 months,credit_card,11.68%,VA,RENT,2500,670-674,6,9482,0,2 years
632,10050,10050,14.33%,36 months,debt_consolidation,6.07%,CA,RENT,2916.67,710-714,9,7413,1,6 years
633,4800,4800,7.90%,36 months,debt_consolidation,19.07%,OH,RENT,1500,720-724,12,6813,3,< 1 year
634,14400,14400,10.74%,36 months,debt_consolidation,5.90%,CA,MORTGAGE,6833.33,700-704,15,10017,0,10+ years
635,11625,11625,15.31%,36 months,debt_consolidation,16.73%,CA,RENT,2833.33,695-699,8,17469,0,10+ years
636,18200,18200,10.16%,36 months,credit_card,7.95%,NY,RENT,4750,720-724,13,16184,2,3 years
637,20000,19875,13.35%,36 months,debt_consolidation,15.68%,TX,MORTGAGE,9160,710-714,9,32392,1,10+ years
638,9600,9575,17.27%,60 months,credit_card,12.90%,NY,RENT,3333.33,695-699,7,13648,1,10+ years
639,9000,9000,11.83%,36 months,car,0.48%,MD,RENT,4833,715-719,6,0,1,4 years
640,35000,35000,18.25%,60 months,debt_consolidation,27.69%,MD,RENT,8083.33,725-729,15,29300,0,10+ years
641,1900,1900,7.51%,36 months,debt_consolidation,19.27%,PA,MORTGAGE,6000,735-739,12,18397,2,10+ years
642,20000,19896.51,13.67%,36 months,debt_consolidation,15.34%,FL,RENT,5166.67,710-714,8,12394,1,6 years
643,2400,2400,10.37%,36 months,wedding,9.54%,MN,MORTGAGE,3166.67,675-679,6,2174,0,1 year
644,4500,4500,11.71%,36 months,debt_consolidation,15.87%,CA,MORTGAGE,3333.33,675-679,15,11963,0,6 years
645,12000,12000,12.12%,36 months,debt_consolidation,19.41%,TX,MORTGAGE,8750,710-714,10,32028,1,4 years
646,10000,8175.26,8.63%,36 months,debt_consolidation,5.91%,GA,MORTGAGE,7500,730-734,16,18343,0,7 years
647,11575,11575,7.90%,36 months,debt_consolidation,17.47%,TX,MORTGAGE,2833.33,730-734,8,5654,0,10+ years
648,20000,20000,6.62%,36 months,credit_card,21.61%,DC,MORTGAGE,8161.33,720-724,14,27904,1,8 years
649,6000,3475,14.70%,36 months,debt_consolidation,10.23%,MD,RENT,6500,640-644,6,4103,0,1 year
650,2800,2800,10.00%,36 months,debt_consolidation,20.32%,CA,RENT,3250,700-704,4,8717,0,5 years
651,6000,6000,14.09%,36 months,credit_card,9.93%,CA,RENT,4250,680-684,6,5815,1,3 years
652,20000,14750,6.91%,36 months,debt_consolidation,15.16%,CO,RENT,9208,735-739,10,20965,0,3 years
653,22000,22000,13.99%,60 months,debt_consolidation,18.28%,MI,MORTGAGE,6083.33,720-724,9,20181,0,8 years
654,10000,10000,13.11%,36 months,debt_consolidation,20.34%,MI,RENT,5416.67,675-679,9,8066,0,10+ years
655,9450,9450,12.12%,36 months,credit_card,11.74%,IL,MORTGAGE,4666.67,690-694,13,17639,2,10+ years
656,10400,10325,7.66%,36 months,debt_consolidation,13.02%,CA,MORTGAGE,6354,725-729,10,19656,3,10+ years
657,15875,15818.07,15.28%,60 months,debt_consolidation,22.10%,CA,RENT,3000,720-724,5,14289,2,2 years
658,18000,18000,12.12%,60 months,other,14.89%,VA,MORTGAGE,8333.33,730-734,7,4038,0,5 years
659,8000,8000,8.90%,36 months,other,2.93%,NY,RENT,5000,710-714,8,5540,0,2 years
660,12000,12000,14.33%,36 months,moving,20.06%,NY,RENT,4166.67,760-764,8,14163,0,2 years
661,20000,12150,6.54%,60 months,debt_consolidation,12.36%,NY,OWN,5000,795-799,9,7960,2,10+ years
662,10000,10000,16.77%,36 months,debt_consolidation,18.55%,CA,RENT,2916.67,660-664,9,7565,3,4 years
663,24500,23475,19.03%,60 months,debt_consolidation,23.02%,MD,RENT,4497,680-684,13,18906,0,10+ years
664,10000,10000,12.12%,36 months,debt_consolidation,19.58%,CA,RENT,6250,695-699,17,16348,0,5 years
665,3600,3600,7.90%,36 months,credit_card,26.21%,OH,MORTGAGE,4166.67,735-739,19,25,2,3 years
666,12000,12000,17.49%,60 months,debt_consolidation,6.94%,OR,MORTGAGE,5445,670-674,8,4904,0,9 years
667,6950,6950,10.74%,36 months,credit_card,20.71%,IL,OWN,4583.33,685-689,7,18814,0,10+ years
668,8525,8525,10.16%,36 months,debt_consolidation,26.14%,MT,MORTGAGE,4583.33,705-709,8,31398,0,10+ years
669,5000,5000,14.33%,36 months,credit_card,28.51%,CO,RENT,2750,690-694,14,5957,2,3 years
670,4800,4800,18.25%,60 months,debt_consolidation,13.81%,OR,RENT,3750,695-699,13,16302,0,10+ years
671,6000,6000,13.35%,36 months,debt_consolidation,21.36%,NV,MORTGAGE,5000,665-669,11,4363,3,10+ years
672,4000,4000,19.22%,60 months,small_business,9.03%,VA,RENT,3700,680-684,19,2177,2,2 years
673,14000,14000,6.03%,36 months,debt_consolidation,14.67%,CA,RENT,7500,745-749,12,16648,0,10+ years
674,23500,23450,14.65%,36 months,debt_consolidation,19.48%,CA,RENT,4000,685-689,7,20542,0,n/a
675,2500,2500,15.95%,36 months,major_purchase,24.07%,CA,MORTGAGE,1500,665-669,10,2684,3,1 year
676,2000,2000,6.17%,36 months,major_purchase,2.63%,CA,RENT,1600,745-749,9,736,0,3 years
677,24000,23925,16.29%,60 months,credit_card,11.77%,NJ,MORTGAGE,7800,675-679,11,20676,3,2 years
678,12800,12800,11.49%,60 months,debt_consolidation,6.72%,CT,MORTGAGE,4166.67,725-729,7,11992,1,1 year
679,8000,8000,7.90%,36 months,wedding,21.58%,CA,RENT,5166.67,725-729,5,0,0,1 year
680,3000,3000,9.99%,36 months,credit_card,21.30%,MO,OWN,2333.33,710-714,10,3168,1,1 year
681,7000,7000,7.90%,36 months,credit_card,1.41%,FL,RENT,12500,725-729,4,5093,0,7 years
682,18000,17975,13.48%,36 months,credit_card,6.24%,IL,MORTGAGE,8333.33,690-694,13,14838,0,10+ years
683,9000,5975,14.11%,36 months,debt_consolidation,8.21%,CA,MORTGAGE,4167,670-674,7,19696,1,3 years
684,11000,11000,10.99%,36 months,debt_consolidation,4.26%,SC,MORTGAGE,6666.67,695-699,11,4124,0,4 years
685,6000,6000,7.90%,36 months,major_purchase,14.99%,IL,RENT,4416.67,720-724,10,2928,0,2 years
686,6500,6475,7.74%,36 months,debt_consolidation,18%,NH,RENT,1500,785-789,5,2816,0,2 years
687,19500,19500,18.49%,36 months,credit_card,9.79%,MD,RENT,10000,675-679,16,14957,1,2 years
688,16000,16000,17.27%,60 months,major_purchase,19.26%,MD,RENT,7000,695-699,7,5231,1,10+ years
689,18000,17950,14.33%,60 months,debt_consolidation,13.98%,KS,MORTGAGE,12916.67,685-689,11,14890,2,10+ years
690,30000,29975,23.33%,60 months,debt_consolidation,17.39%,FL,MORTGAGE,7083.33,665-669,21,56145,1,10+ years
691,10000,10000,14.09%,36 months,debt_consolidation,5.82%,LA,RENT,8750,660-664,14,11394,0,3 years
692,16000,15900,15.58%,60 months,debt_consolidation,12.86%,WA,MORTGAGE,5427.42,700-704,11,19407,1,5 years
693,35000,35000,17.58%,36 months,debt_consolidation,11.80%,MA,MORTGAGE,13333.33,690-694,12,21393,1,10+ years
694,8000,8000,13.72%,36 months,wedding,9.67%,TX,RENT,7758.33,665-669,6,12110,1,2 years
695,14500,14500,13.11%,36 months,debt_consolidation,28.29%,WA,MORTGAGE,5988.67,700-704,12,18020,2,10+ years
696,12000,11925,10.62%,36 months,other,19.02%,VA,RENT,5000,720-724,9,11779,0,1 year
697,4500,4500,13.43%,36 months,car,1.23%,CA,RENT,11500,670-674,5,1847,1,1 year
698,16500,16350,11.83%,36 months,debt_consolidation,17.44%,TX,RENT,4810.08,725-729,7,24351,1,3 years
699,10000,10000,9.91%,36 months,debt_consolidation,14.32%,MN,MORTGAGE,3666.67,705-709,9,17161,0,1 year
700,35000,35000,19.05%,60 months,credit_card,13.40%,CA,MORTGAGE,9166.67,690-694,7,26633,0,1 year
701,21000,6165.31,11.09%,36 months,home_improvement,21.28%,CA,OWN,18333.33,745-749,31,270800,5,2 years
702,8400,6725,15.45%,36 months,debt_consolidation,15.71%,MD,RENT,7083.33,640-644,7,14578,3,< 1 year
703,6000,6000,7.90%,36 months,credit_card,9.31%,TX,OWN,1750,705-709,14,5056,0,6 years
704,12000,12000,19.22%,36 months,debt_consolidation,14.62%,CT,OWN,4166.67,665-669,3,6309,0,6 years
705,12100,12100,16.89%,36 months,small_business,11.16%,TX,MORTGAGE,6166.67,665-669,5,2081,0,4 years
706,25000,25000,14.09%,36 months,home_improvement,4.79%,MD,MORTGAGE,6833.33,675-679,5,8811,0,8 years
707,16000,15925,6.03%,36 months,debt_consolidation,14.48%,CA,MORTGAGE,7333.33,780-784,11,71838,1,10+ years
708,27000,27000,18.25%,36 months,home_improvement,22.32%,SC,MORTGAGE,8583.33,690-694,9,6658,1,8 years
709,12250,12250,18.75%,36 months,debt_consolidation,17.21%,LA,OWN,2916.67,665-669,7,10523,0,7 years
710,10000,10000,17.77%,36 months,debt_consolidation,22.60%,AZ,RENT,2500,665-669,12,12938,2,4 years
711,9175,9175,13.67%,36 months,credit_card,19.43%,IL,MORTGAGE,7083.33,675-679,8,25639,0,8 years
712,14075,14075,15.31%,36 months,debt_consolidation,25.70%,VA,OWN,4000,680-684,13,11907,2,5 years
713,13100,13100,18.55%,36 months,debt_consolidation,23.24%,NY,RENT,7968.75,660-664,19,19607,1,10+ years
714,14675,14675,8.90%,36 months,debt_consolidation,14.95%,NY,MORTGAGE,4000,715-719,6,12764,0,7 years
715,5000,4900,11.14%,36 months,major_purchase,2.84%,FL,RENT,3200,710-714,6,2650,2,3 years
716,18000,18000,13.11%,36 months,debt_consolidation,26.54%,OR,MORTGAGE,4166.67,670-674,11,16680,0,10+ years
717,12000,12000,7.62%,36 months,debt_consolidation,15.10%,CO,RENT,5666.67,775-779,7,12094,0,10+ years
718,19400,19400,14.33%,36 months,debt_consolidation,16.15%,MA,MORTGAGE,4583.33,680-684,12,12434,0,7 years
719,18000,18000,12.12%,36 months,debt_consolidation,19.29%,IL,RENT,3333.33,665-669,15,26573,0,10+ years
720,12000,12000,17.77%,36 months,debt_consolidation,9.84%,NY,MORTGAGE,7500,665-669,11,15866,0,7 years
721,8000,8000,13.11%,36 months,debt_consolidation,26.11%,MN,MORTGAGE,4166.67,675-679,15,11500,0,< 1 year
722,23750,23750,19.72%,60 months,debt_consolidation,14.22%,CT,RENT,8333.33,710-714,12,10549,3,2 years
723,7500,7475,15.58%,36 months,debt_consolidation,10.74%,VA,MORTGAGE,5000,695-699,8,8257,0,2 years
724,5500,5500,12.69%,36 months,debt_consolidation,21.24%,OH,RENT,1666.67,680-684,7,5056,1,< 1 year
725,16950,16950,17.27%,60 months,debt_consolidation,26.62%,OK,MORTGAGE,3583.33,710-714,7,12588,3,10+ years
726,3000,2950,11.14%,36 months,major_purchase,27.74%,VA,MORTGAGE,4333.33,715-719,6,6346,0,5 years
727,1600,1600,13.49%,36 months,debt_consolidation,12.10%,CA,RENT,3200,670-674,5,1214,0,6 years
728,6000,6000,7.49%,36 months,home_improvement,14.66%,NC,MORTGAGE,5833.33,715-719,12,7961,0,9 years
729,7350,7350,12.12%,36 months,debt_consolidation,19.85%,CA,OWN,3355.05,695-699,19,11626,3,10+ years
730,12825,12825,17.77%,36 months,debt_consolidation,24.41%,CA,MORTGAGE,3416.67,670-674,15,8539,1,10+ years
731,24000,23975,21.00%,60 months,debt_consolidation,23.69%,OK,MORTGAGE,6500,685-689,17,36555,3,6 years
732,10000,10000,18.49%,60 months,debt_consolidation,16.47%,FL,RENT,4104.67,695-699,5,7597,0,5 years
733,5500,5500,14.33%,36 months,debt_consolidation,27.83%,WV,OWN,1541.67,675-679,5,10481,1,n/a
734,17500,17500,14.72%,36 months,debt_consolidation,9.30%,CA,RENT,9519.75,695-699,9,31279,0,10+ years
735,10000,10000,13.11%,36 months,credit_card,19.01%,OH,MORTGAGE,7500,680-684,11,14426,1,9 years
736,20000,16275,6.17%,36 months,debt_consolidation,12.27%,MD,MORTGAGE,8083.33,770-774,13,29813,1,10+ years
737,11600,11600,6.99%,36 months,debt_consolidation,8.62%,CA,RENT,5833.33,735-739,8,2671,1,< 1 year
738,12000,12000,13.99%,60 months,debt_consolidation,12.98%,CT,RENT,4166.67,715-719,8,2316,1,3 years
739,13000,6770.1,11.26%,36 months,small_business,14.05%,CA,MORTGAGE,7666.67,720-724,8,9551,0,9 years
740,8575,8550,17.27%,36 months,debt_consolidation,9.84%,NY,RENT,2500,665-669,6,8807,2,7 years
741,6100,6100,14.09%,36 months,credit_card,9.51%,LA,RENT,6666.67,685-689,10,5665,2,2 years
742,14000,14000,15.31%,36 months,credit_card,14.26%,PA,MORTGAGE,5000,680-684,5,11249,2,10+ years
743,10500,10500,14.33%,36 months,debt_consolidation,19.55%,FL,MORTGAGE,5666.67,670-674,7,11301,0,10+ years
744,19600,19525,21.49%,60 months,small_business,9.76%,CA,RENT,4170,675-679,8,11669,0,4 years
745,15000,15000,15.80%,36 months,credit_card,10.27%,NV,RENT,3333.33,670-674,11,10108,0,4 years
746,8000,8000,17.27%,36 months,other,5.28%,AZ,MORTGAGE,5833.33,725-729,11,12484,1,10+ years
747,20000,20000,21.49%,36 months,debt_consolidation,27.47%,TX,MORTGAGE,7750,660-664,15,26976,0,2 years
748,11000,10969.64,12.53%,36 months,debt_consolidation,18.89%,IL,RENT,3500,700-704,6,6811,1,2 years
749,6000,5905.66,17.90%,36 months,credit_card,6.60%,MI,RENT,4166.67,675-679,5,3433,1,2 years
750,12000,12000,11.14%,36 months,debt_consolidation,3.11%,CA,MORTGAGE,10833.33,705-709,12,11941,0,2 years
751,17000,17000,13.11%,36 months,debt_consolidation,16.92%,CA,RENT,5083.33,690-694,10,8890,0,7 years
752,6250,6250,7.90%,36 months,debt_consolidation,8.45%,IL,RENT,1916.67,720-724,6,3295,0,1 year
753,27825,27825,23.76%,60 months,debt_consolidation,12.86%,CA,RENT,6250,665-669,16,27093,1,4 years
754,30000,30000,15.31%,36 months,debt_consolidation,15.42%,NJ,RENT,8333.33,680-684,21,29060,1,8 years
755,4200,3969.9,14.11%,36 months,home_improvement,4.62%,OH,MORTGAGE,1558.42,675-679,6,2255,1,< 1 year
756,3800,3800,21.98%,36 months,small_business,8.31%,CA,RENT,4333.33,680-684,6,4843,2,7 years
757,2000,2000,15.31%,36 months,moving,21.43%,NC,RENT,2766.67,670-674,5,2162,3,< 1 year
758,6000,6000,14.09%,36 months,debt_consolidation,24.25%,AZ,RENT,4000,680-684,12,24934,1,10+ years
759,21000,21000,19.05%,60 months,debt_consolidation,16.24%,TX,RENT,8416.67,685-689,8,8764,2,5 years
760,2500,2500,13.49%,36 months,credit_card,6.24%,NY,RENT,5416.67,680-684,8,15373,0,6 years
761,2400,2400,16.77%,36 months,other,17%,WA,RENT,2700,690-694,3,3418,1,3 years
762,13000,13000,10.74%,36 months,credit_card,15.46%,CA,RENT,2166.67,720-724,4,11101,0,3 years
763,4800,4800,14.65%,36 months,credit_card,13.90%,HI,RENT,5000,665-669,8,7391,0,2 years
764,17475,17475,9.91%,36 months,credit_card,17.76%,NJ,RENT,3333.33,730-734,15,17261,1,2 years
765,16450,16400,21.97%,60 months,debt_consolidation,25.59%,PA,MORTGAGE,2833.33,670-674,23,12670,2,5 years
766,14000,14000,14.65%,36 months,debt_consolidation,3.47%,CA,MORTGAGE,8750,680-684,6,9035,1,10+ years
767,2500,2500,17.27%,36 months,other,11.34%,OH,MORTGAGE,5833.33,665-669,8,14122,0,8 years
768,8000,8000,18.49%,36 months,debt_consolidation,14.45%,VA,RENT,4166.67,660-664,10,9425,2,4 years
769,5000,5000,12.53%,36 months,debt_consolidation,21.49%,FL,RENT,3108.33,705-709,8,0,0,2 years
770,15000,15000,13.11%,36 months,debt_consolidation,12.78%,MA,RENT,9000,690-694,19,11016,0,< 1 year
771,25000,24814.89,12.69%,60 months,wedding,3.83%,NY,MORTGAGE,22916.67,720-724,13,34069,0,10+ years
772,3000,2975,8.90%,36 months,debt_consolidation,32%,FL,RENT,1000,700-704,7,9730,0,n/a
773,6000,6000,7.90%,36 months,credit_card,33.64%,WI,RENT,4116.67,705-709,16,33746,0,1 year
774,7800,7800,10.65%,36 months,debt_consolidation,7.15%,CO,MORTGAGE,4000,720-724,6,11063,2,9 years
775,25000,25000,7.90%,36 months,debt_consolidation,18.66%,MI,MORTGAGE,7083.33,710-714,17,47504,0,9 years
776,18500,3100,15.33%,36 months,credit_card,5.24%,NY,RENT,7500,660-664,8,22379,0,1 year
777,12000,12000,12.99%,60 months,home_improvement,16.67%,GA,MORTGAGE,9166.67,710-714,11,25165,0,2 years
778,5000,5000,15.99%,36 months,debt_consolidation,5.26%,AL,MORTGAGE,2416.67,665-669,5,1620,0,6 years
779,2500,2500,10.59%,60 months,other,2.15%,MD,OWN,3958,745-749,4,3417,0,2 years
780,16000,16000,16.29%,60 months,debt_consolidation,5.76%,NC,MORTGAGE,5083.33,710-714,7,8729,1,10+ years
781,25000,25000,15.31%,60 months,debt_consolidation,3.98%,NY,RENT,5666.67,745-749,6,11079,0,3 years
782,2000,2000,16.89%,36 months,other,11.91%,AR,RENT,3400,660-664,3,747,3,10+ years
783,2200,2200,10.16%,36 months,major_purchase,24.15%,GA,MORTGAGE,3400,730-734,6,1453,0,5 years
784,14000,13825,10.25%,36 months,debt_consolidation,9.26%,GA,MORTGAGE,8333.33,730-734,8,40267,1,10+ years
785,3000,3000,13.11%,36 months,debt_consolidation,32.21%,SD,MORTGAGE,2583.33,670-674,13,6683,0,1 year
786,11425,11400,9.91%,36 months,debt_consolidation,19.47%,FL,MORTGAGE,4750,730-734,9,6359,3,8 years
787,17325,17325,17.27%,60 months,debt_consolidation,30.24%,CA,RENT,3750,705-709,13,31362,1,9 years
788,5425,5425,8.49%,36 months,debt_consolidation,21.16%,WV,MORTGAGE,6333.33,730-734,21,25996,3,10+ years
789,20000,20000,22.78%,60 months,debt_consolidation,1.63%,CA,RENT,12500,665-669,5,5407,0,5 years
790,3300,3300,11.71%,36 months,car,4.16%,FL,RENT,3730,700-704,7,3675,1,1 year
791,2000,2000,17.27%,36 months,home_improvement,20.51%,GA,MORTGAGE,3750,670-674,10,1371,1,7 years
792,26500,26500,13.11%,36 months,home_improvement,13.99%,CA,RENT,5833.33,745-749,8,64504,2,5 years
793,17975,17975,18.55%,36 months,debt_consolidation,18.55%,FL,RENT,4833.33,670-674,10,17448,0,7 years
794,15000,14925.21,13.47%,36 months,debt_consolidation,14.06%,NY,RENT,4458.33,700-704,15,7701,1,6 years
795,16400,16350,13.99%,60 months,debt_consolidation,23.60%,FL,RENT,3500,725-729,11,16693,1,5 years
796,13500,13500,13.99%,60 months,debt_consolidation,12.59%,OR,MORTGAGE,8833.33,700-704,11,18978,0,2 years
797,12000,12000,15.27%,36 months,debt_consolidation,3.90%,AZ,RENT,7083.33,670-674,7,6040,1,2 years
798,16750,16750,21.48%,60 months,debt_consolidation,21.88%,HI,RENT,2833.33,665-669,12,7903,0,3 years
799,8000,8000,12.18%,36 months,major_purchase,1.24%,MA,RENT,1125,745-749,2,707,0,2 years
800,10000,10000,9.76%,36 months,debt_consolidation,14.08%,LA,MORTGAGE,5416.67,710-714,8,10560,0,3 years
801,10000,10000,15.21%,36 months,debt_consolidation,10.93%,CA,RENT,7083,670-674,13,11890,0,3 years
802,5525,5525,13.85%,36 months,credit_card,21.03%,CA,MORTGAGE,6620,720-724,8,37573,2,10+ years
803,17200,17200,19.69%,60 months,home_improvement,9.95%,CO,RENT,3666.67,705-709,4,2117,3,2 years
804,19600,19575,16.29%,36 months,other,29.38%,NY,RENT,4166.67,680-684,17,22053,1,3 years
805,4000,4000,11.48%,36 months,debt_consolidation,22.93%,TX,MORTGAGE,3833.33,715-719,9,0,0,2 years
806,13000,13000,13.11%,36 months,debt_consolidation,10.58%,NH,RENT,5000,735-739,3,11090,1,1 year
807,8000,7850,9.63%,36 months,house,0.24%,KS,RENT,4250,790-794,4,132,3,5 years
808,25000,5640.7,10.08%,36 months,home_improvement,10.42%,MA,MORTGAGE,7916.67,755-759,23,16386,0,4 years
809,20000,19900,10.25%,36 months,wedding,11.35%,NY,RENT,7083.33,750-754,14,18196,0,3 years
810,27575,27575,17.27%,60 months,debt_consolidation,18.28%,WA,MORTGAGE,7833.33,680-684,20,28055,2,7 years
811,24000,24000,14.33%,36 months,debt_consolidation,15.86%,CA,MORTGAGE,7500,670-674,5,2426,0,10+ years
812,7000,7000,18.49%,36 months,wedding,15.92%,IL,RENT,5000,660-664,11,13665,1,5 years
813,12000,11975,16.77%,60 months,debt_consolidation,10.71%,MD,MORTGAGE,3500,685-689,6,26874,0,10+ years
814,14000,14000,19.03%,60 months,debt_consolidation,13.52%,CA,MORTGAGE,3616,670-674,9,13923,0,2 years
815,10000,9975,11.14%,36 months,debt_consolidation,12.92%,CA,RENT,2500,725-729,8,14257,0,3 years
816,7750,7750,6.03%,36 months,debt_consolidation,22.01%,CO,RENT,4766.67,780-784,14,4667,3,6 years
817,15000,11550,13.67%,36 months,debt_consolidation,17.19%,TX,OWN,3333.33,690-694,8,10820,0,5 years
818,15000,14950,11.86%,36 months,debt_consolidation,12.20%,AR,MORTGAGE,5000,705-709,9,3470,3,10+ years
819,25000,25000,15.31%,36 months,debt_consolidation,13%,CA,RENT,5416.67,685-689,10,22824,0,6 years
820,15000,14975,14.91%,60 months,debt_consolidation,8.08%,NC,MORTGAGE,4407,720-724,8,15818,1,n/a
821,5000,5000,16.29%,36 months,debt_consolidation,16.06%,CT,MORTGAGE,8750,660-664,12,19598,1,2 years
822,5000,5000,12.98%,36 months,wedding,17.29%,PA,MORTGAGE,3250,665-669,18,4656,0,3 years
823,35000,35000,15.31%,36 months,debt_consolidation,15%,NJ,RENT,6666.67,680-684,22,33472,0,10+ years
824,7500,6025,15.37%,36 months,debt_consolidation,17.50%,CA,OWN,5000,675-679,11,16422,0,< 1 year
825,25000,15675,10.36%,60 months,home_improvement,16.26%,CA,MORTGAGE,3333.33,765-769,6,22713,1,10+ years
826,3800,3800,11.12%,36 months,major_purchase,15.45%,PA,MORTGAGE,5416.67,700-704,11,9266,0,10+ years
827,2800,2800,8.90%,36 months,other,27.76%,VA,RENT,3250,700-704,13,22401,0,10+ years
828,6250,6250,7.49%,36 months,credit_card,23.97%,AR,MORTGAGE,2900,730-734,13,21536,0,2 years
829,18000,17994.46,9.91%,36 months,debt_consolidation,11.85%,WA,MORTGAGE,3333.33,725-729,13,10416,2,5 years
830,6000,6000,17.27%,36 months,debt_consolidation,29.13%,WV,RENT,2752.92,660-664,12,4569,2,< 1 year
831,20000,20000,14.09%,36 months,debt_consolidation,34.91%,TX,MORTGAGE,4583.33,710-714,8,6510,1,2 years
832,8000,8000,11.14%,36 months,debt_consolidation,23.93%,KY,RENT,2666.67,700-704,11,10128,0,5 years
833,12000,12000,6.62%,36 months,home_improvement,4.81%,NY,MORTGAGE,9833.33,790-794,15,5584,2,10+ years
834,24000,7100,11.12%,60 months,home_improvement,11.99%,CO,OWN,5686.67,775-779,6,1726,2,2 years
835,3000,2925,11.49%,36 months,debt_consolidation,9.22%,CA,RENT,4900,690-694,6,3996,1,10+ years
836,5000,5000,6.99%,36 months,major_purchase,8.51%,AL,MORTGAGE,3750,745-749,12,3998,0,6 years
837,21850,21800,13.99%,60 months,debt_consolidation,17.95%,NY,RENT,3750,730-734,5,7102,0,3 years
838,21850,21850,23.28%,60 months,medical,26.95%,IL,MORTGAGE,5833.33,675-679,21,29643,2,3 years
839,10000,7586.93,13.47%,36 months,credit_card,14.20%,CA,MORTGAGE,6666.67,690-694,8,126402,2,9 years
840,15000,10150.07,15.68%,36 months,other,2.68%,IL,OWN,2500,680-684,6,3004,2,1 year
841,9600,9600,7.29%,36 months,other,9.66%,RI,RENT,6048,740-744,7,15700,0,7 years
842,25000,24975,20.50%,36 months,credit_card,14.72%,FL,RENT,7301.58,670-674,18,21675,0,4 years
843,25000,14401.65,11.49%,60 months,home_improvement,4.95%,FL,MORTGAGE,3333.33,780-784,9,3367,3,2 years
844,30000,29950,7.90%,36 months,home_improvement,0.34%,MA,RENT,13416.67,810-814,9,2174,3,10+ years
845,20000,20000,16.89%,60 months,debt_consolidation,6.83%,WA,OWN,4000,700-704,6,5845,0,10+ years
846,14825,14825,13.67%,36 months,small_business,9.55%,CA,RENT,2500,695-699,8,8073,1,2 years
